ts_month,family,new_canonical_models,downloads_canonical
2022-11-01,none,1,0
2023-02-01,none,2,70
2023-03-01,none,4,4
2023-04-01,none,4,1865
2023-05-01,none,14,15129
2023-05-01,wizard,1,4321
2023-06-01,none,18,2043
2023-07-01,falcon,1,2
2023-07-01,llama,1,60
2023-07-01,none,12,1751
2023-08-01,none,10,2147
2023-09-01,guanaco,3,3044
2023-09-01,llama,5,19381
2023-09-01,none,15,9478
2023-09-01,uncensored,3,782
2023-09-01,wizard,2,17688
2023-09-01,wizardlm,5,11732
2023-09-01,yi,1,514
2023-10-01,albert,1,16
2023-10-01,none,9,223
2023-10-01,uncensored,3,1250
2023-11-01,none,4,95
2023-11-01,orca,1,6
2023-11-01,wizardlm,1,1345
2023-12-01,llama,2,107
2023-12-01,mistral,1,0
2023-12-01,none,2,0
2023-12-01,phi,1,654
2023-12-01,solar,1,7934
2023-12-01,zephyr,1,2
2024-01-01,mistral,1,4
2024-01-01,none,6,167
2024-01-01,phi,1,4
2024-02-01,3epoch,1,5
2024-02-01,gemma,1,1515
2024-02-01,none,6,17
2024-02-01,noromaid,1,0
2024-03-01,gemma,1,7
2024-03-01,none,15,5624
2024-03-01,pythia,1,0
2024-03-01,roleplay,1,246
2024-03-01,westlake,1,5
2024-04-01,aura,1,206
2024-04-01,distilbert,1,73
2024-04-01,llama,13,2908
2024-04-01,luna,1,57
2024-04-01,mistral,2,247
2024-04-01,none,24,18190
2024-04-01,openhermes,1,11
2024-04-01,t5,1,17
2024-04-01,westlake,1,39
2024-05-01,aura,1,291
2024-05-01,aya,1,3
2024-05-01,collective,1,192
2024-05-01,daredevil,1,355
2024-05-01,distilroberta,1,0
2024-05-01,gemma,1,2
2024-05-01,llama,13,5113
2024-05-01,mistral,1,197
2024-05-01,model,3,22
2024-05-01,neuraldaredevil,1,4809
2024-05-01,none,36,29403
2024-05-01,phi,3,574
2024-05-01,wizardlm,1,151
2024-06-01,3,1,11
2024-06-01,codestral,1,275
2024-06-01,jailbrokeai,1,293
2024-06-01,jett,1,218
2024-06-01,jupiter,1,27
2024-06-01,l3,5,167
2024-06-01,llama,14,8289
2024-06-01,mistral,3,996
2024-06-01,none,35,45979
2024-06-01,phi,7,2114
2024-06-01,unfilteredai,1,9
2024-07-01,apollo,1,8
2024-07-01,distilbert,1,301
2024-07-01,dp,1,253
2024-07-01,gemma,3,2644
2024-07-01,h2o,1,8
2024-07-01,l3,1,461
2024-07-01,llama,22,14869
2024-07-01,mdeberta,1,303
2024-07-01,mixtral,1,2
2024-07-01,neuraldaredevil,1,285
2024-07-01,none,52,28048
2024-07-01,phi,1,85
2024-07-01,qwen,1,81
2024-07-01,samantha,2,286
2024-07-01,stablelm,2,13
2024-07-01,storytime,1,4
2024-07-01,swallowmaid,1,507
2024-07-01,t,1,136
2024-07-01,uncensoredlm,1,40
2024-07-01,unfilteredai,1,700
2024-07-01,vicuna,1,169
2024-07-01,wizardlm,1,537
2024-07-01,xlm,1,10
2024-08-01,gemma,4,5848
2024-08-01,glm,2,1029
2024-08-01,internlm,2,25
2024-08-01,llama,11,6040
2024-08-01,mistral,1,3
2024-08-01,none,73,17928
2024-08-01,peach,1,906
2024-08-01,phi,3,2865
2024-08-01,qwen,1,135
2024-08-01,wizard,1,322
2024-08-01,wizardlm,1,548
2024-09-01,codestral,1,6
2024-09-01,deberta,1,11
2024-09-01,gemma,2,56
2024-09-01,gpt,1,0
2024-09-01,hermes,3,571
2024-09-01,l3.1,1,326
2024-09-01,llama,14,6015
2024-09-01,llava,1,4
2024-09-01,mistral,2,10579
2024-09-01,model,6,1202
2024-09-01,motherearth,1,105
2024-09-01,nemo,1,491
2024-09-01,none,37,12092
2024-09-01,qwen,10,11143
2024-09-01,yi,6,21407
2024-10-01,daredevil,1,208
2024-10-01,gemma,8,16486
2024-10-01,glm,1,12
2024-10-01,guanaco,1,200
2024-10-01,l3.2,2,13029
2024-10-01,llama,22,24509
2024-10-01,magnum,1,7
2024-10-01,mistral,1,54
2024-10-01,model,10,621
2024-10-01,neuraldaredevil,1,309
2024-10-01,none,45,3097
2024-10-01,orca,1,376
2024-10-01,qwen,15,16080
2024-10-01,sentence,1,2
2024-10-01,szilviab,2,370
2024-10-01,writing,1,3543
2024-11-01,acegpt,1,56
2024-11-01,aya,2,1469
2024-11-01,chatframe,1,241
2024-11-01,darkauraunholy,1,305
2024-11-01,darkdaredevilaura,1,317
2024-11-01,darkneuraldaredevil,1,212
2024-11-01,darkunholydaredevil,2,235
2024-11-01,dracarys2,1,6
2024-11-01,electra,1,7
2024-11-01,gemma,4,254
2024-11-01,glm,1,625
2024-11-01,guanaco,1,132
2024-11-01,hammer2.0,1,5
2024-11-01,l3,2,380
2024-11-01,l3.1,1,1223
2024-11-01,llama,34,6924
2024-11-01,marco,2,662
2024-11-01,memgpt,1,346
2024-11-01,ministral,1,158
2024-11-01,mistral,3,386
2024-11-01,neuraldarkdevil,1,59
2024-11-01,none,19,1403
2024-11-01,nyx,1,145
2024-11-01,opencoder,1,7
2024-11-01,phi,1,1
2024-11-01,qwen,25,8198
2024-11-01,qwq,1,1031
2024-11-01,roleplayv2e6,1,7
2024-11-01,smollm2,4,1074
2024-11-01,solar,2,382
2024-11-01,szilviab,1,66
2024-11-01,unaligned,3,143
2024-12-01,8b,9,27
2024-12-01,[],1,1237
2024-12-01,athene,1,7
2024-12-01,aya,2,617
2024-12-01,beepo,1,6
2024-12-01,command,1,108
2024-12-01,deberta,1,8
2024-12-01,dp,1,32
2024-12-01,exaone,6,4726
2024-12-01,falcon,8,2509
2024-12-01,gemma,3,2512
2024-12-01,granite,4,646
2024-12-01,hermes3,1,288
2024-12-01,huatuogpt,2,56
2024-12-01,l2,1,417
2024-12-01,llama,25,118886
2024-12-01,marco,1,127
2024-12-01,megrez,1,12
2024-12-01,mistral,3,5783
2024-12-01,model,3,9
2024-12-01,monah,1,115
2024-12-01,mrroboto,1,3
2024-12-01,none,3,361
2024-12-01,phi,1,2
2024-12-01,pythia,1,228
2024-12-01,qvq,2,327
2024-12-01,qwen,19,4510
2024-12-01,qwq,6,745
2024-12-01,roleplai,1,69
2024-12-01,roleplaylake,2,506
2024-12-01,sailor2,2,354
2024-12-01,seallms,4,807
2024-12-01,sexygpt,1,1046
2024-12-01,teuken,1,8
2024-12-01,tiny,1,2
2024-12-01,uncensoredlm,2,64
2024-12-01,vmlu,2,96
2024-12-01,xortron22b,1,260
2024-12-01,zeus,1,13
2025-01-01,abliterated,1,8
2025-01-01,barcenas,1,129
2025-01-01,belle,1,2
2025-01-01,buddyglassuncensored2025.2,1,20
2025-01-01,command,1,844
2025-01-01,dria,4,618
2025-01-01,dukunlm,1,775
2025-01-01,eidolon,1,25
2025-01-01,esm2,1,14
2025-01-01,huatuogpt,1,54
2025-01-01,internlm,2,756
2025-01-01,llama,22,24603
2025-01-01,lucie,1,4
2025-01-01,megrez,1,127
2025-01-01,mistral,1,1116
2025-01-01,nexus,1,372
2025-01-01,none,118,1647
2025-01-01,phi,10,3955
2025-01-01,pixtral,1,16
2025-01-01,prompt,1,4
2025-01-01,qrwkv6,2,225
2025-01-01,qwen,41,54213
2025-01-01,qwq,2,283
2025-01-01,sky,2,267
2025-01-01,smallthinker,2,174
2025-01-01,triangulum,1,217
2025-01-01,uwu,2,138
2025-01-01,vecteus,1,25
2025-01-01,wizardlm,1,324
2025-01-01,zeus,5,2301
2025-02-01,darkidol,5,1373
2025-02-01,davidau,1,242
2025-02-01,deepscaler,2,186
2025-02-01,deepseek,21,2213
2025-02-01,deepthought,1,344
2025-02-01,dippy,4,366
2025-02-01,elita,1,776
2025-02-01,falcon,1,4
2025-02-01,fino1,2,219
2025-02-01,gemma,6,1021
2025-02-01,l3.1,6,1827
2025-02-01,l3.2,1,9449
2025-02-01,l3.3,1,1825
2025-02-01,llama,44,24105
2025-02-01,loxa,1,223
2025-02-01,lucie,1,296
2025-02-01,megatron,2,422
2025-02-01,mistral,7,5633
2025-02-01,none,42,1834
2025-02-01,nord,1,356
2025-02-01,openthinker,5,1027
2025-02-01,original,1,5
2025-02-01,phi,1,0
2025-02-01,pythia,1,3
2025-02-01,qwen,25,19532
2025-02-01,reverb,2,120
2025-02-01,roleplay,1,4960
2025-02-01,s1,2,628
2025-02-01,s1.1,2,121
2025-02-01,smollm2,1,171
2025-02-01,smollumi,1,24
2025-02-01,tigers,2,395
2025-02-01,uncensored,1,225
2025-02-01,wizardlm,1,706
2025-03-01,abliterated,1,95
2025-03-01,arcee,2,338
2025-03-01,athene,1,215
2025-03-01,bellatrix,8,7505
2025-03-01,community,1,3
2025-03-01,control,2,860
2025-03-01,deepseek,2,1436
2025-03-01,dirty,5,6601
2025-03-01,dpo,1,3
2025-03-01,falcon,2,1474
2025-03-01,fastthink,2,1193
2025-03-01,fluentlylm,2,948
2025-03-01,forgotten,1,1
2025-03-01,fusechat,1,3
2025-03-01,g3,1,1
2025-03-01,gemma,22,28156
2025-03-01,granite,6,1129
2025-03-01,harmfulproject,2,155
2025-03-01,instella,1,17
2025-03-01,jailbreak,1,257
2025-03-01,judas,1,3990
2025-03-01,kanana,2,2306
2025-03-01,l3,1,34
2025-03-01,light,2,127
2025-03-01,lix,2,186
2025-03-01,llama,44,41772
2025-03-01,llm,1,1
2025-03-01,merged,1,10
2025-03-01,ministral,1,262
2025-03-01,mistral,3,449
2025-03-01,model,2,339
2025-03-01,moonlight,2,16
2025-03-01,motherearth,1,607
2025-03-01,mt5,1,3
2025-03-01,none,19,18053
2025-03-01,orca,3,130
2025-03-01,peach,1,453
2025-03-01,phi,5,3255
2025-03-01,qwen,34,28741
2025-03-01,qwq,2,5587
2025-03-01,reka,1,6959
2025-03-01,rombo,1,2327
2025-03-01,sigil,1,82
2025-03-01,sky,3,16558
2025-03-01,stablelm,1,847
2025-03-01,tifa,1,0
2025-03-01,tinyr1,2,192
2025-03-01,uncensored,2,419
2025-04-01,acegpt,1,58
2025-04-01,anjir,1,7
2025-04-01,apriel,1,13
2025-04-01,boto,1,249
2025-04-01,command,1,3
2025-04-01,cydonia,1,47
2025-04-01,deepcoder,1,0
2025-04-01,deepseek,1,1904
2025-04-01,deneb,1,264
2025-04-01,dia,1,0
2025-04-01,forgotten,1,5
2025-04-01,gemma,8,5635
2025-04-01,glm,6,4642
2025-04-01,granite,2,4
2025-04-01,hidream,1,0
2025-04-01,illustrious,1,158
2025-04-01,internlm,1,232
2025-04-01,jamet,1,1108
2025-04-01,l3,2,174
2025-04-01,l3.1,12,5726
2025-04-01,llama,53,16317
2025-04-01,mistral,5,770
2025-04-01,model,6,4442
2025-04-01,none,37,3785
2025-04-01,opencoder,1,490
2025-04-01,openhands,2,199
2025-04-01,openthinker2,2,508
2025-04-01,phi,2,523
2025-04-01,q3,1,47
2025-04-01,qwen,37,28318
2025-04-01,qwq,2,1352
2025-04-01,roleplay,1,37
2025-04-01,roleplayv2e6,1,46
2025-04-01,scifi,1,536
2025-04-01,sex,1,8282
2025-04-01,vicuzard,1,186
2025-04-01,x,1,35
2025-05-01,,1,161
2025-05-01,am,2,401
2025-05-01,command,1,138
2025-05-01,devstral,1,3
2025-05-01,dippy,1,115
2025-05-01,dirty,1,18735
2025-05-01,foundation,2,109
2025-05-01,gemma,24,37677
2025-05-01,ii,1,56
2025-05-01,internlm,1,130
2025-05-01,jailbreak,1,66
2025-05-01,l2,1,104
2025-05-01,llama,5,2510
2025-05-01,mistral,2,373
2025-05-01,model,1,30
2025-05-01,nemotron,3,267
2025-05-01,none,14,1433
2025-05-01,phi,7,975
2025-05-01,qwen,51,34363
2025-05-01,qwq,1,243
2025-05-01,seed,2,72
2025-05-01,vanilla,2,503
2025-05-01,wizardvicuna,1,137
2025-06-01,apollo,1,147
2025-06-01,baronllm,1,268
2025-06-01,deepseek,1,0
2025-06-01,devstral,1,864
2025-06-01,exaone,2,311
2025-06-01,gemma,4,1047
2025-06-01,gigachat,1,1136
2025-06-01,homunculus,1,528
2025-06-01,homunculus'],1,35
2025-06-01,huihui,10,13105
2025-06-01,janus,1,986
2025-06-01,l3,1,182
2025-06-01,l3.1,1,1
2025-06-01,llama,7,7277
2025-06-01,magistral,1,1330
2025-06-01,medraq,1,163
2025-06-01,mimo,2,4
2025-06-01,minimedra,1,194
2025-06-01,mistral,2,680
2025-06-01,model,5,176
2025-06-01,nemotron,1,313
2025-06-01,none,24,3748
2025-06-01,nvila,1,24
2025-06-01,procyon,1,97
2025-06-01,qwen,27,29382
2025-07-01,codet5p,1,13
2025-07-01,deep,1,209
2025-07-01,drakidol,1,1013
2025-07-01,drmedra4b,3,859
2025-07-01,exaone,2,135
2025-07-01,falcon,1,452
2025-07-01,gemma,8,2847
2025-07-01,glm,1,163
2025-07-01,granite,1,365
2025-07-01,huihui,4,2059
2025-07-01,internvl3,4,438
2025-07-01,jan,2,119
2025-07-01,kat,1,703
2025-07-01,lingshu,1,389
2025-07-01,llama,5,1995
2025-07-01,magistral,1,0
2025-07-01,medguide,1,308
2025-07-01,medran,1,201
2025-07-01,mistral,4,30893
2025-07-01,none,31,3262
2025-07-01,qwen,7,2325
2025-07-01,smollm3,1,59
2025-07-01,vicuna,1,0
2025-08-01,a.x,1,284
2025-08-01,baichuan,1,12926
2025-08-01,datarus,1,572
2025-08-01,deepseek,1,34
2025-08-01,doctor,1,5001
2025-08-01,doujinshi,1,0
2025-08-01,flux.1,1,16
2025-08-01,gemma,5,6458
2025-08-01,glm,3,5834
2025-08-01,gpt,8,66410
2025-08-01,huihui,9,34056
2025-08-01,innospark,1,18120
2025-08-01,internvl3,1,22
2025-08-01,jan,1,23
2025-08-01,kimi,1,95
2025-08-01,llama,4,1048
2025-08-01,medgpt,1,272
2025-08-01,medra4b,1,454
2025-08-01,medran,2,575
2025-08-01,mindlink,1,17836
2025-08-01,none,25,995
2025-08-01,qwen,36,113677
2025-08-01,seed,1,1530
2025-08-01,smollm,2,157
